filename,echo_filepath,farnerd_filepath,mix_filepath,nearend_filepath,target_filepath,split
f01837,/media/m1998cc/n/pythonProject/deepvqe/data/f01837_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01837_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01837_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01837_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01837_target.wav,train
f08559,/media/m1998cc/n/pythonProject/deepvqe/data/f08559_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08559_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08559_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08559_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08559_target.wav,train
f05240,/media/m1998cc/n/pythonProject/deepvqe/data/f05240_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05240_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05240_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05240_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05240_target.wav,train
f06485,/media/m1998cc/n/pythonProject/deepvqe/data/f06485_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06485_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06485_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06485_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06485_target.wav,train
f02404,/media/m1998cc/n/pythonProject/deepvqe/data/f02404_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02404_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02404_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02404_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02404_target.wav,train
f07326,/media/m1998cc/n/pythonProject/deepvqe/data/f07326_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07326_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07326_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07326_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07326_target.wav,train
f02836,/media/m1998cc/n/pythonProject/deepvqe/data/f02836_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02836_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02836_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02836_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02836_target.wav,train
f00448,/media/m1998cc/n/pythonProject/deepvqe/data/f00448_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00448_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00448_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00448_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00448_target.wav,train
f09036,/media/m1998cc/n/pythonProject/deepvqe/data/f09036_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09036_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09036_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09036_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09036_target.wav,train
f02362,/media/m1998cc/n/pythonProject/deepvqe/data/f02362_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02362_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02362_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02362_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02362_target.wav,train
f01550,/media/m1998cc/n/pythonProject/deepvqe/data/f01550_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01550_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01550_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01550_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01550_target.wav,train
f04602,/media/m1998cc/n/pythonProject/deepvqe/data/f04602_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04602_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04602_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04602_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04602_target.wav,train
f00231,/media/m1998cc/n/pythonProject/deepvqe/data/f00231_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00231_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00231_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00231_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00231_target.wav,train
f08068,/media/m1998cc/n/pythonProject/deepvqe/data/f08068_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08068_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08068_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08068_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08068_target.wav,train
f04684,/media/m1998cc/n/pythonProject/deepvqe/data/f04684_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04684_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04684_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04684_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04684_target.wav,train
f04666,/media/m1998cc/n/pythonProject/deepvqe/data/f04666_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04666_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04666_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04666_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04666_target.wav,train
f03427,/media/m1998cc/n/pythonProject/deepvqe/data/f03427_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03427_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03427_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03427_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03427_target.wav,train
